Applications,Cef,NBR Version,Kit,Remarks,Company,Tipologia Applicazione
2.5 HP (1999-2001),500377,,,,MARINER,Outboard_Engines
4A HP (M-6EO-001011 >),500325,,,,MARINER,Outboard_Engines
4A HP (ML-6EO-300101 >),500325,,,,MARINER,Outboard_Engines
5C HP (M-6E3-102151 >),500325,,,,MARINER,Outboard_Engines
5C HP (ML-6E3-400101 >),500325,,,,MARINER,Outboard_Engines
6 HP (2000-2001),500377,,,,MARINER,Outboard_Engines
8B HP (M-677-000101 >),500321,,,,MARINER,Outboard_Engines
8B HP (ML-677-300101 >),500321,,,,MARINER,Outboard_Engines
30 HP,500312,,BK0007,,MARINER,Outboard_Engines
40 HP (4 Cyl),500378,,,4 strokes/4 tempi,MARINER,Outboard_Engines
40 HP EFI,500378,,,4 strokes/4 tempi,MARINER,Outboard_Engines
40 HP JET,500378,,,,MARINER,Outboard_Engines
45 HP JET,500378,,,,MARINER,Outboard_Engines
50 HP (4 Cyl),500378,,,4 strokes/4 tempi,MARINER,Outboard_Engines
50 HP (5531630 >),500312,,BK0006,,MARINER,Outboard_Engines
50 HP EFI,500378,,,4 strokes/4 tempi,MARINER,Outboard_Engines
55 HP (3 Cyl),500378,,,,MARINER,Outboard_Engines
60 HP (3 Cyl),500378,,,,MARINER,Outboard_Engines
60 HP (4 Cyl),500378,,,4 strokes/4 tempi,MARINER,Outboard_Engines
60 HP EFI,500378,,,4 strokes/4 tempi,MARINER,Outboard_Engines
70 HP (5361993-5702219),500312,,BK0006,,MARINER,Outboard_Engines
70 HP (A996142 >),500301N,,,,MARINER,Outboard_Engines
70 HP (B240451 >),500301N,,,,MARINER,Outboard_Engines
75 HP (4Cyl.) (6432901 >),500313G,,BK0004,,MARINER,Outboard_Engines
75 HP (A996142 >),500301N,,,,MARINER,Outboard_Engines
75 HP (B24051 >),500301N,,,,MARINER,Outboard_Engines
75 HP (C222000-D382221),500301N,,,,MARINER,Outboard_Engines
80 HP (4CYL) (4842729-6432900),500313G,,BK0004,,MARINER,Outboard_Engines
85 HP (4CYL) (4731898-4842728),500313G,,BK0004,,MARINER,Outboard_Engines
90 HP (6 Cyl.) (5309951-),500313G,,BK0004,,MARINER,Outboard_Engines
90 HP (A996142 >),500301N,,,,MARINER,Outboard_Engines
90 HP (B240451 >),500301N,,,,MARINER,Outboard_Engines
90 HP (C222000 >),500301N,,,,MARINER,Outboard_Engines
100 HP (B209468 >),500301N,,,,MARINER,Outboard_Engines
115 HP (6CYL) (4865178-),500313G,,BK0004,,MARINER,Outboard_Engines
115 HP (C100000-D283221),500301N,,,,MARINER,Outboard_Engines
140 HP (6CYL) (5088444-),500313G,,BK0004,,MARINER,Outboard_Engines
15A HP (<M-651-000285),500321,,,,MARINER,Outboard_Engines
15A HP (<ML-651-300101),500321,,,,MARINER,Outboard_Engines
MAG II (B082000 -),500313G,,BK0004,,MARINER,Outboard_Engines
MAG II (B242885 -),500313G,,BK0004,,MARINER,Outboard_Engines
V-135 HP (0A904646 -),500313G,,BK0004,,MARINER,Outboard_Engines
V-150 HP (5600162-0A904645),500313G,,BK0004,,MARINER,Outboard_Engines
V-150 HP (A904646 -),500313G,,BK0004,,MARINER,Outboard_Engines
V-175 HP (5190663-6618750),500313G,,BK0004,,MARINER,Outboard_Engines
V-175 HP (6618751 -),500313G,,BK0004,,MARINER,Outboard_Engines
V-200 HP (5624878-6625220),500313G,,BK0004,,MARINER,Outboard_Engines
V-200 HP (6625221 -),500313G,,BK0004,,MARINER,Outboard_Engines
V-220 HP (B117316 -),500313G,,BK0004,,MARINER,Outboard_Engines
